epoch,loss,main_output_loss,mid_output_loss
0,124.292797007,124.292797007,163.266083936
0,101.967406358,101.967406358,164.727254006
0,98.8905876458,98.8905876458,165.659731679
0,96.8491084038,96.8491084038,166.217943307
0,94.9649190176,94.9649190176,166.421281034
0,93.1145691918,93.1145691918,167.031068456
0,79.3047593865,79.3047593865,168.625227861
0,77.0514553584,77.0514553584,168.218218284
0,75.9311970584,75.9311970584,167.803978743
0,74.6684635834,74.6684635834,167.805449808
0,74.6115078727,74.6115078727,167.665172169
0,73.5782735757,73.5782735757,167.886398555
0,74.1695069265,74.1695069265,168.052940234
0,72.510907471,72.510907471,168.131663187
0,72.2524818639,72.2524818639,168.263254172
0,71.4158174889,71.4158174889,168.208841769
0,71.2887708217,71.2887708217,168.281159383
0,71.3792253852,71.3792253852,168.334218863
0,70.4035538461,70.4035538461,168.370200927
0,70.1881410728,70.1881410728,168.114197418
0,69.7308582213,69.7308582213,168.226734864
0,69.0030265704,69.0030265704,168.021873573
0,69.2410608125,69.2410608125,168.35175249
0,69.1016372028,69.1016372028,168.162407549
0,68.5451345398,68.5451345398,168.337120303
0,68.055612152,68.055612152,168.067417265
0,68.4003289955,68.4003289955,168.161367118
0,68.0829031265,68.0829031265,168.163446592
0,67.7725310052,67.7725310052,168.56286635
0,67.4578983772,67.4578983772,168.19718365
0,67.475920577,67.475920577,168.267063759
0,67.4756779114,67.4756779114,168.285710644
0,66.9678524307,66.9678524307,168.375978295
0,67.1475302791,67.1475302791,168.199880561
0,66.4685169701,66.4685169701,168.174878696
0,66.4953621645,66.4953621645,168.280011304
0,66.4090084702,66.4090084702,168.984596032
0,66.0382120569,66.0382120569,168.592699567
0,65.669412905,65.669412905,168.825159783
0,65.6599791807,65.6599791807,168.882599311
0,65.6882917125,65.6882917125,169.010292352
0,65.4129935433,65.4129935433,169.081486086
0,65.3103942184,65.3103942184,169.145925589
0,64.923691191,64.923691191,169.258589209
0,64.8331476598,64.8331476598,169.379453526
0,64.790014185,64.790014185,169.578082699
0,64.7234248705,64.7234248705,169.28586427
0,64.6989684522,64.6989684522,169.560719162
0,64.4832485795,64.4832485795,169.090944067
0,64.5191779407,64.5191779407,169.63746058
0,64.2448437447,64.2448437447,169.477347466
0,64.1754674162,64.1754674162,169.419558806
0,64.2763251698,64.2763251698,169.238801287
0,64.2299237387,64.2299237387,170.055482111
0,50.6844006739,50.6844006739,172.969088981
0,37.337586489,37.337586489,174.863219688
0,34.9887008287,34.9887008287,173.705773136
0,33.6460039642,33.6460039642,173.608211799
0,32.3899070145,32.3899070145,173.782373666
0,32.7953643163,32.7953643163,173.596788448
0,32.454544079,32.454544079,173.460467122
0,31.4311313627,31.4311313627,173.39229062
0,31.727295721,31.727295721,173.225403857
0,31.3380104009,31.3380104009,173.047192377
0,31.7157987775,31.7157987775,173.055910302
0,30.5458671042,30.5458671042,173.329516237
0,31.0044392073,31.0044392073,172.874210688
0,30.8738979684,30.8738979684,172.980437327
0,30.5094423934,30.5094423934,172.994295733
0,30.0875207483,30.0875207483,173.066632856
0,30.0046824896,30.0046824896,173.334589368
0,30.1424435918,30.1424435918,173.062771549
0,29.5941158467,29.5941158467,173.033462817
0,29.6957632788,29.6957632788,172.616428524
0,29.073868051,29.073868051,172.905654478
0,29.4995462113,29.4995462113,172.811057498
0,30.117120783,30.117120783,172.584810044
0,29.7107909667,29.7107909667,172.740787759
0,29.3335016551,29.3335016551,172.763521559
0,29.3034424219,29.3034424219,172.79006947
0,28.7656199901,28.7656199901,172.595727299
0,28.959286404,28.959286404,172.94274322
0,28.3895215847,28.3895215847,172.99836917
0,28.7794529286,28.7794529286,172.948428839
0,28.6564094504,28.6564094504,172.947306028
0,28.4670176167,28.4670176167,173.046211251
0,28.1703351301,28.1703351301,172.744768668
0,28.5486810298,28.5486810298,172.725661441
0,28.1537724425,28.1537724425,172.399461247
0,27.9206739849,27.9206739849,172.84052622
0,27.8596097104,27.8596097104,172.951686589
0,27.6339339368,27.6339339368,173.078163214
0,28.2048088315,28.2048088315,172.450394874
0,27.5853570639,27.5853570639,172.918586625
0,27.1857060944,27.1857060944,172.800787873
0,27.3515533555,27.3515533555,173.071191919
0,27.1052948035,27.1052948035,173.135484095
0,27.0169217659,27.0169217659,172.575402876
0,26.9906956764,26.9906956764,172.572457445
0,26.9917676581,26.9917676581,172.568619124
0,27.0906026773,27.0906026773,172.638474631
0,26.870659964,26.870659964,173.000597175
0,26.5207505241,26.5207505241,172.116304597
0,25.9737709046,25.9737709046,172.592276972
0,26.6419907332,26.6419907332,172.769269912
0,26.1288627788,26.1288627788,172.793309922
0,26.5975811422,26.5975811422,172.992913548
0,25.8318979816,25.8318979816,173.076726137
0,27.1287969453,27.1287969453,174.697386301
0,26.4238525077,26.4238525077,174.538006689
0,26.1741545701,26.1741545701,172.968940493
0,25.6444517644,25.6444517644,172.963757193
0,25.6340221067,25.6340221067,172.902628019
0,25.369744739,25.369744739,172.950349876
0,24.8231558805,24.8231558805,172.823686661
0,25.1173559014,25.1173559014,173.053664796
0,25.1443562917,25.1443562917,172.581768693
0,25.3052992727,25.3052992727,172.930443789
0,24.9476810091,24.9476810091,173.247137411
0,25.9058961763,25.9058961763,172.666186855
0,25.1297269238,25.1297269238,174.002556232
0,25.2762919088,25.2762919088,173.342802285
0,25.3219432043,25.3219432043,173.690187695
0,25.1209255385,25.1209255385,172.855233001
0,24.3342457325,24.3342457325,172.977686211
0,24.247043126,24.247043126,173.793440022
0,24.2467869134,24.2467869134,174.419122071
0,23.7190030493,23.7190030493,173.182447646
0,23.5466152678,23.5466152678,172.680483671
0,24.6208441463,24.6208441463,173.056048311
0,23.6614493624,23.6614493624,173.112892999
0,23.2397392683,23.2397392683,173.489876601
0,23.0137139852,23.0137139852,173.605304065
0,23.1839153561,23.1839153561,172.883409113
0,23.0737582622,23.0737582622,172.727500526
0,22.5750709694,22.5750709694,173.149251399
0,22.9666221517,22.9666221517,172.961350697
0,23.5063160014,23.5063160014,172.259351249
0,22.0063767109,22.0063767109,173.206943926
0,22.4542468595,22.4542468595,173.156269707
0,22.7813108315,22.7813108315,173.453604702
0,34.5422173853,34.5422173853,163.633887876
0,29.3041494742,29.3041494742,166.403443825
0,28.1841858435,28.1841858435,168.892337141
0,26.7602394206,26.7602394206,170.347582044
0,25.9608255009,25.9608255009,171.661324111
0,25.7920403711,25.7920403711,172.100317416
0,25.4036729197,25.4036729197,172.958193232
0,24.9131022783,24.9131022783,173.423836967
0,24.9475855252,24.9475855252,173.708489737
0,24.0105217329,24.0105217329,174.615574718
