epoch,generator_TD_Dense_0_loss,loss,model_2_loss_1,model_2_loss_2,encoder_loss
0,0.0062282293,6.4664218424,6.8450905111,6.4664218424,0
0,0.0014118623,5.0794915583,6.2251893317,5.0794915583,0
0,0.000735314,3.1373603511,4.9589940877,3.1373603511,0
0,0.0006905579,2.5803825069,4.819010738,2.5803825069,0
0,0.0008349699,2.3352697157,4.8098501338,2.3352697157,0
0,0.0008864121,2.1791094415,4.7860050007,2.1791094415,0
0,0.0007250238,2.0563253358,4.7838320962,2.0563253358,0
0,0.0008914158,1.9541250362,4.7823483496,1.9541250362,0
0,0.0008018127,1.8366934219,4.7825639401,1.8366934219,0
0,0.0007484207,1.737060136,4.7874540997,1.737060136,0
0,0.0008391142,1.6519493435,4.7899480032,1.6519493435,0
0,0.0008377229,1.5831957285,4.7898436471,1.5831957285,0
0,0.0008882808,1.4976682457,4.7930118474,1.4976682457,0
0,0.0008861335,1.4472758932,4.7877383912,1.4472758932,0
0,0.0009299484,1.395949871,4.7860697215,1.395949871,0
0,0.0010124359,1.3548264855,4.7842226823,1.3548264855,0
0,0.001041997,1.3168019573,4.7837416649,1.3168019573,0
0,0.0010056289,1.3011330241,4.7838664132,1.3011330241,0
0,0.0009553306,1.2615661061,4.7802996537,1.2615661061,0
0,0.0010636374,1.2417093595,4.7791485611,1.2417093595,0
0,0.0010233324,1.2151173918,4.7775025827,1.2151173918,0
0,0.0010078912,1.1974209286,4.7815382579,1.1974209286,0
0,0.0010299525,1.175935263,4.7818894733,1.175935263,0
0,0.0010383397,1.1504120991,4.7841561561,1.1504120991,0
0,0.0010761509,1.1386232962,4.7853210809,1.1386232962,0
0,0.0010799055,1.1215647165,4.7896932466,1.1215647165,0
0,0.0010588009,1.1051606596,4.7914098443,1.1051606596,0
0,0.001064048,1.0888788051,4.7946232512,1.0888788051,0
0,0.001065819,1.0738365269,4.7971578462,1.0738365269,0
0,0.0010277336,1.0641109593,4.7960556757,1.0641109593,0
0,0.0010894352,1.052144732,4.8045715508,1.052144732,0
0,0.0010939073,1.0350254432,4.8099285122,1.0350254432,0
0,0.0010502549,1.0260977577,4.8146968741,1.0260977577,0
0,0.0011696548,1.0174714998,4.8185367336,1.0174714998,0
0,0.0010397338,1.0017028381,4.8182568729,1.0017028381,0
0,0.0011112268,0.9899727119,4.8192979289,0.9899727119,0
0,0.001086867,0.9703296383,4.8131709683,0.9703296383,0
0,0.0010926559,0.9556936731,4.8046138181,0.9556936731,0
0,0.001063574,0.939525265,4.8019509998,0.939525265,0
0,0.0010478526,0.9325266234,4.7925200254,0.9325266234,0
0,0.0010633737,0.915757397,4.7931742535,0.915757397,0
0,0.0010358744,0.906091974,4.7937404127,0.906091974,0
0,0.0010441645,0.9031033592,4.7930531293,0.9031033592,0
0,0.0010235631,0.8927088288,4.7910980326,0.8927088288,0
0,0.0010912248,0.8893314098,4.7872209221,0.8893314098,0
0,0.0010466317,0.8813237365,4.7901182599,0.8813237365,0
0,0.0010702678,0.8785190694,4.7894956885,0.8785190694,0
0,0.0010500017,0.8708272738,4.788685874,0.8708272738,0
0,0.0010279063,0.8638851567,4.7896484303,0.8638851567,0
0,0.0010046414,0.8538471794,4.788096342,0.8538471794,0
0,0.0009998455,0.8541678694,4.7882956515,0.8541678694,0
0,0.0010198482,0.8497156864,4.7865109181,0.8497156864,0
0,0.0009911441,0.8514712295,4.7855096804,0.8514712295,0
0,0.0010011805,0.8394967347,4.7865120065,0.8394967347,0
0,0.0009523684,0.8366810646,4.7850588171,0.8366810646,0
0,0.0010176673,0.8349158174,4.7847734907,0.8349158174,0
0,0.0009943923,0.8320348116,4.7851781595,0.8320348116,0
0,0.0009355867,0.8260935952,4.78243094,0.8260935952,0
0,0.0009649236,0.8208117567,4.7828543696,0.8208117567,0
0,0.0009537837,0.8161181464,4.7847442065,0.8161181464,0
0,0.0008780032,0.8181729378,4.7837168864,0.8181729378,0
0,0.000921611,0.8141198078,4.782266096,0.8141198078,0
0,0.0009028578,0.8103747903,4.7845599451,0.8103747903,0
0,0.0009162806,0.8056289279,4.7841078858,0.8056289279,0
0,0.0008879265,0.8039016569,4.7839053719,0.8039016569,0
0,0.0008812803,0.8004815635,4.7852605687,0.8004815635,0
0,0.0008584247,0.799442916,4.7852182616,0.799442916,0
0,0.0008587291,0.800147361,4.7865898644,0.800147361,0
0,0.0008552956,0.7953144847,4.787198501,0.7953144847,0
0,0.0008620448,0.7930923548,4.7853392224,0.7930923548,0
0,0.0008388049,0.7875517759,4.7859385573,0.7875517759,0
0,0.0008151259,0.7923388118,4.7842910859,0.7923388118,0
0,0.000834268,0.7861283792,4.7842568043,0.7861283792,0
0,0.0008240562,0.7868670624,4.7871970849,0.7868670624,0
0,0.0008276655,0.7814315455,4.786117324,0.7814315455,0
0,0.0008260861,0.7797966992,4.784925531,0.7797966992,0
0,0.00081752,0.7780355349,4.7847255695,0.7780355349,0
0,0.0008014318,0.7748588546,4.7846198131,0.7748588546,0
0,0.0008333874,0.772831384,4.7839689896,0.772831384,0
0,0.0007662675,0.775510337,4.7859071527,0.775510337,0
0,0.0008051985,0.7696755556,4.7858955781,0.7696755556,0
0,0.0007859308,0.7682463342,4.7855985557,0.7682463342,0
0,0.000755444,0.7662844698,4.7858912175,0.7662844698,0
0,0.0007500895,0.764337487,4.7874686202,0.764337487,0
0,0.0007519877,0.7635675478,4.7860479649,0.7635675478,0
0,0.0007698998,0.759950963,4.7862895494,0.759950963,0
0,0.0007225003,0.7599944751,4.7909302889,0.7599944751,0
0,0.0007455778,0.7624214371,4.7860933604,0.7624214371,0
0,0.0007527863,0.7570852541,4.7886823396,0.7570852541,0
0,0.0007498034,0.7574341382,4.7883762718,0.7574341382,0
0,0.0007363997,0.7532258917,4.7878012506,0.7532258917,0
0,0.000728258,0.7519044027,4.7910628659,0.7519044027,0
0,0.0007099205,0.7529410069,4.7883088234,0.7529410069,0
0,0.0007072188,0.7500313398,4.788361246,0.7500313398,0
0,0.000667784,0.7465947811,4.7901320128,0.7465947811,0
0,0.0006619028,0.7518325068,4.7911654511,0.7518325068,0
0,0.0006660042,0.7468075642,4.7918692189,0.7468075642,0
0,0.0006605925,0.7484009366,4.7912706133,0.7484009366,0
0,0.0006717424,0.7444175044,4.7907847813,0.7444175044,0
0,0.0006476488,0.7445115276,4.7912541294,0.7445115276,0
0,0.0006362803,0.7490804101,4.7902055928,0.7490804101,0
0,0.0006700187,0.7421200885,4.788895948,0.7421200885,0
0,0.000652691,0.7414772556,4.7886486691,0.7414772556,0
0,0.0006442409,0.738132378,4.7876994932,0.738132378,0
0,0.0006494807,0.7377017295,4.7895303576,0.7377017295,0
0,0.0006460866,0.7386301852,4.791258406,0.7386301852,0
0,0.0006228635,0.7380709025,4.7904129284,0.7380709025,0
0,0.0006166006,0.736139163,4.7887528743,0.736139163,0
0,0.0006211262,0.731880626,4.7891752855,0.731880626,0
0,0.0006179218,0.7333758184,4.7927902383,0.7333758184,0
0,0.0005997925,0.7304919332,4.7932490986,0.7304919332,0
0,0.0006211113,0.7298599443,4.7907913146,0.7298599443,0
0,0.0006074393,0.7283935705,4.7919440552,0.7283935705,0
0,0.0006102018,0.7280995464,4.7917343569,0.7280995464,0
0,0.0006058338,0.7267006847,4.7917217076,0.7267006847,0
0,0.0005907074,0.7266513972,4.7916817524,0.7266513972,0
0,0.0005912005,0.7266310074,4.7914812711,0.7266310074,0
0,0.0005721608,0.7249283657,4.7927808117,0.7249283657,0
0,0.0005809647,0.725941978,4.7905925828,0.725941978,0
0,0.0005626935,0.7191314619,4.79240074,0.7191314619,0
